normalization,n_clusters,m,clustering_method,defuzz_method,neighbor_method,train_rmse,train_mae,test_rmse,test_mae,train_precision,train_recall,train_accuracy,train_f1_score,test_precision,test_recall,test_accuracy,test_f1_score,avg_max_membership,avg_entropy,elapsed_sec,train_thresholds,train_precision_at_threshold,train_recall_at_threshold,train_f1_score_at_threshold,test_thresholds,test_precision_at_threshold,test_recall_at_threshold,test_f1_score_at_threshold
no_normalization,2,1.2,fcm,maximum,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.6210324643869602,0.6452802808353749,40.75019669998437,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,2,1.2,fcm,cog,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.6210324643869602,0.6452802808353749,41.11860080016777,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,2,1.5,fcm,maximum,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.5000000283152812,0.6931471803599426,42.36160919978283,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,2,1.5,fcm,cog,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.5000000283152812,0.6931471803599426,41.0842447001487,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,2,1.8,fcm,maximum,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.5000000135396934,0.6931471803599447,41.55427729990333,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,2,1.8,fcm,cog,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.5000000135396934,0.6931471803599447,41.35248210001737,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,2,2.0,fcm,maximum,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.5000000137224759,0.6931471803599447,41.08762640017085,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,2,2.0,fcm,cog,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.5000000137224759,0.6931471803599447,41.08282839995809,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,2,2.2,fcm,maximum,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.5000000112770744,0.6931471803599448,41.3065095001366,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,2,2.2,fcm,cog,pearson,2.879906935652221,2.514762566464332,,,0.5881868131868132,0.1377921868420335,0.5881868131868132,0.2105716182687028,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,0.5000000112770744,0.6931471803599448,40.86954879993573,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1377921868420335, 0.13503634310519283, 0.13228049936835218, 0.1295246556315115, 0.12676881189467085]","[0.2105716182687028, 0.20636018590332875, 0.20214875353795467, 0.19793732117258062, 0.1937258888072066]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
